wai_gi,age,wgt,hgt,sex,y_hat,a,b,chunk
68.5,23,62.0,175.0,1,63.35123034267045,112.22121551836676,-36.3542559639725,0.0
74.0,19,60.9,173.0,1,67.33356080340133,105.48794258726474,-30.031776665890312,0.0
70.5,20,59.5,170.0,1,62.90089283943922,104.95984274953125,-31.612396490410852,0.0
72.1,24,61.3,170.0,1,64.3179023584259,112.61729039666687,-37.93487578849304,0.0
73.3,24,55.2,164.1,1,62.759172203347674,104.56376787123115,-37.934875788493045,0.0
69.9,20,57.0,163.0,1,59.25927510706876,101.65921876369693,-31.61239649041086,0.0
72.0,23,56.8,170.5,1,64.45149920368567,105.35591762783136,-36.354255963972484,0.0
76.5,20,65.9,169.4,1,67.9480866074035,113.4094401532671,-31.612396490410845,0.0
75.4,29,53.9,167.4,1,66.08525280231433,109.4486913702659,-45.83797491109574,0.0
68.0,20,55.5,168.9,1,60.198063597590306,99.67884437219635,-31.612396490410873,0.0
80.6,20,58.4,157.2,1,66.15847095901324,103.50756819576415,-31.612396490410873,0.0
67.1,25,58.0,177.8,1,63.35544267865728,109.5807163296993,-39.51549561301357,0.0
80.2,22,61.4,177.8,1,74.95720811536074,110.10881616743276,-34.773636139451945,0.0
66.5,22,51.6,161.2,0,55.4483540945148,97.17037014296227,-34.77363613945195,0.0
61.5,20,59.0,167.5,0,53.819414594156825,104.29971795236438,-31.612396490410852,0.0
61.2,19,49.2,159.5,0,49.999166266203474,90.04102233356014,-30.031776665890312,0.0
70.5,21,53.6,155.8,0,56.591550537859746,98.49061973729602,-33.19301631493142,0.0
66.5,23,59.0,170.0,0,59.35836904197251,108.26046673536557,-36.35425596397248,0.0
58.0,26,47.6,159.1,0,46.98741927607294,97.17037014296227,-41.09611543753412,0.0
61.0,25,54.2,170.9,0,54.88728671280944,104.56376787123114,-39.51549561301358,0.0
62.0,29,42.0,153.4,0,47.9973197553,93.73772119769458,-45.837974911095756,0.0
63.4,22,50.0,160.0,0,52.169714295006614,95.0579707920283,-34.77363613945195,0.0
71.0,25,49.8,147.2,0,53.21321504116395,98.75466965616272,-39.51549561301357,0.0
59.0,23,49.2,168.2,0,51.91636113701519,95.32202071089506,-36.35425596397249,0.0
60.5,19,47.8,157.0,0,48.2684249006645,88.1926729014929,-30.031776665890312,0.0
65.0,25,50.6,159.5,0,53.36456387379684,99.8108693316297,-39.51549561301357,0.0
70.2,24,57.2,166.8,0,61.213379937371855,107.2042670598986,-37.93487578849304,0.0
63.0,30,54.5,174.0,0,58.03594024076082,111.56109072119986,-47.41859473561629,0.0
70.0,23,59.8,173.0,0,63.79103700593464,109.31666641083253,-36.35425596397248,0.0
61.0,19,47.0,160.0,0,50.0442000165266,87.13647322602596,-30.031776665890323,0.0
63.1,20,55.0,162.0,0,52.792664770982455,99.01871957502948,-31.612396490410845,0.0
66.0,25,54.4,160.0,0,54.47235476335996,104.82781779009788,-39.515495613013584,0.0
65.0,21,45.8,152.0,0,50.03216477084993,88.19267290149293,-33.19301631493141,0.0
63.2,23,53.6,162.1,0,52.92565985395841,101.13111892596342,-36.35425596397249,0.0
68.0,29,52.1,160.2,0,56.33248063817189,107.07224210046522,-45.837974911095756,0.0
65.5,21,56.6,166.4,0,56.87318652319132,102.45136852029717,-33.193016314931405,0.0
66.9,23,62.3,168.9,0,59.22386955328699,112.61729039666686,-36.35425596397248,0.0
67.9,24,58.5,163.8,0,57.84346911264976,108.92059153253244,-37.934875788493045,0.0
67.8,20,54.5,167.6,0,59.44332156320618,98.3585947778626,-31.612396490410852,0.0
63.2,19,50.2,160.0,0,51.99258810513328,91.36127192789388,-30.031776665890312,0.0
73.1,20,60.3,161.3,0,61.33795034837416,106.01604242499823,-31.612396490410873,0.0
65.3,19,58.3,167.6,0,57.22924418978948,102.05529364199704,-30.03177666589032,0.0
65.6,20,56.2,165.1,0,56.38413377361718,100.60301908822996,-31.612396490410866,0.0
62.7,19,50.2,160.0,0,51.54977263044995,91.36127192789388,-30.031776665890312,0.0
68.6,18,61.0,167.6,0,60.15182632269952,104.29971795236438,-28.451156841369766,0.0
64.9,26,55.9,163.2,0,54.91998433631397,108.12844177593219,-41.096115437534124,0.0
61.7,20,46.5,152.4,0,47.28731059009708,87.79659802319281,-31.612396490410863,0.0
64.0,20,54.3,157.5,0,51.59029316364432,98.09454485899587,-31.612396490410873,0.0
58.6,26,54.8,168.3,0,51.606540745307825,106.67616722216508,-41.09611543753411,0.0
68.3,21,60.7,180.3,0,65.5289995188796,107.86439185706544,-33.193016314931405,0.0
69.5,21,60.0,165.5,0,60.015822428304375,106.94021714103184,-33.193016314931405,0.0
69.8,23,60.3,164.5,0,59.83719183272146,109.97679120799941,-36.35425596397251,0.0
65.0,26,54.7,162.0,0,54.47536357477912,106.54414226273173,-41.09611543753412,0.0
62.8,21,53.2,166.0,0,54.30425500774413,97.96251989956252,-33.19301631493142,0.0
67.6,19,61.1,172.7,0,61.53222676333672,105.7519925061315,-30.031776665890312,0.0
61.6,35,48.7,151.1,0,46.6211316506496,110.50489104573292,-55.32169385821901,0.0
63.2,32,52.3,164.5,0,53.99202756690141,111.29704080233311,-50.57983438465736,0.0
62.7,22,59.3,152.0,0,47.99521358730658,107.33629201933195,-34.77363613945195,0.0
65.7,25,54.8,161.2,0,54.73984933502146,105.35591762783136,-39.51549561301358,0.0
68.2,18,67.2,176.2,0,63.61872491433195,112.4852654372335,-28.451156841369787,0.0
68.8,20,58.2,162.5,0,58.06292112256895,103.24351827689742,-31.612396490410852,0.0
62.0,30,52.8,169.5,0,55.150869829626,109.31666641083254,-47.418594735616296,0.0
65.8,23,59.8,163.2,0,55.71705219074397,109.31666641083253,-36.35425596397248,0.0
64.9,20,50.0,159.8,0,53.40929674297806,92.41747160336084,-31.612396490410866,0.0
61.4,23,55.9,170.0,0,54.84165120020248,104.167692992931,-36.354255963972484,0.0
75.4,21,63.4,161.4,0,63.41933351995681,111.42906576176651,-33.193016314931405,0.0
57.9,24,45.7,159.4,0,47.032152145254145,92.02139672506074,-37.934875788493045,0.0
64.4,25,52.2,162.5,0,54.1661449453556,101.92326868256367,-39.51549561301357,0.0
62.3,19,48.6,159.0,0,50.75120037031034,89.24887257695988,-30.031776665890312,0.0
68.7,20,57.8,162.8,0,58.10765399175017,102.7154184391639,-31.612396490410873,0.0
68.0,29,55.6,159.0,0,55.799296781700406,111.69311568063324,-45.837974911095735,0.0
71.2,24,59.4,162.9,0,60.36616335320613,110.10881616743279,-37.93487578849303,0.0
64.8,25,53.6,161.0,0,53.85391750451288,103.7716181146309,-39.515495613013584,0.0
60.7,22,53.4,168.2,0,53.421933750938535,99.54681941276297,-34.77363613945193,0.0
67.1,25,56.2,171.8,0,60.68952339629976,107.2042670598986,-39.51549561301358,0.0
71.0,23,59.8,164.3,0,60.81108499588291,109.31666641083253,-36.35425596397248,0.0
70.3,20,65.2,168.5,0,62.05728682897649,112.4852654372335,-31.612396490410866,0.0
69.5,27,56.6,166.8,0,60.59343827281518,110.37286608629952,-42.67673526205467,0.0
67.2,25,51.8,163.5,0,57.0902314839752,101.39516884483017,-39.515495613013556,0.0
66.0,19,59.0,167.8,0,57.938049830424745,102.97946835803067,-30.03177666589032,0.0
67.5,26,47.6,159.5,0,55.57864124721351,97.17037014296227,-41.09611543753412,0.0
64.2,20,55.2,161.2,0,53.41140291097145,99.28276949389624,-31.612396490410852,0.0
61.0,21,45.0,160.0,0,50.0442000165266,87.13647322602594,-33.193016314931405,0.0
60.2,18,54.0,163.2,0,50.7575188742906,95.0579707920283,-28.45115684136978,0.0
62.6,19,50.2,162.2,0,52.4387132723777,91.36127192789388,-30.031776665890312,0.0
58.5,26,44.8,149.5,0,43.16476389898425,93.47367127882782,-41.09611543753412,0.0
66.1,20,56.4,163.2,0,55.98274147555398,100.86706900709669,-31.612396490410866,0.0
64.0,32,49.2,155.0,0,50.47949346266202,107.20426705989858,-50.57983438465736,0.0
64.1,23,53.8,164.0,0,54.56693548113495,101.39516884483018,-36.354255963972484,0.0
72.4,20,54.4,160.9,0,60.54028073166032,98.22656981842923,-31.612396490410866,0.0
71.0,20,58.0,162.8,0,60.14460517529352,102.97946835803066,-31.612396490410866,0.0
69.1,20,59.8,167.0,0,60.328049869147094,105.35591762783139,-31.61239649041088,0.0
66.1,23,54.8,160.0,0,54.56091785829662,102.71541843916391,-36.35425596397248,0.0
65.0,23,46.4,158.2,0,52.78694802928602,91.62532184676061,-36.35425596397249,0.0
71.5,19,64.4,156.0,0,57.56604546330499,110.10881616743279,-30.031776665890327,0.0
63.0,28,48.8,160.0,0,51.815461915259945,101.39516884483018,-44.25735508657519,0.0
70.0,19,62.2,167.1,0,61.16954971161641,107.20426705989858,-30.03177666589032,0.0
70.4,29,55.5,158.0,0,57.48049117978749,111.56109072119988,-45.83797491109574,0.0
66.0,20,54.6,156.0,0,52.69507524178829,98.49061973729599,-31.612396490410866,0.0
67.6,22,53.2,159.8,0,55.80050030626808,99.28276949389623,-34.77363613945194,0.0
65.0,20,64.5,170.5,0,58.25208255811896,111.56109072119989,-31.612396490410873,0.0
64.0,22,51.8,159.2,0,52.34563696031228,97.434420061829,-34.77363613945195,0.0
61.6,30,50.0,162.6,0,51.73081027516819,105.61996754669809,-47.41859473561629,0.0
60.7,27,55.9,170.2,0,54.310573511724385,109.44869137026592,-42.676735262054656,0.0
69.2,20,55.5,158.8,0,56.77318994486183,99.67884437219635,-31.612396490410873,0.0
66.0,24,56.8,165.1,0,56.73838615336385,106.6761672221651,-37.93487578849303,0.0
68.3,23,60.0,177.8,0,64.41819981789729,109.58071632969929,-36.35425596397248,0.0
58.8,19,49.1,158.8,0,47.5626280714484,89.90899737412677,-30.031776665890316,0.0
64.5,25,55.0,168.9,0,57.09835527480695,105.61996754669812,-39.51549561301358,0.0
65.8,20,57.3,161.3,0,54.87284441799744,102.05529364199705,-31.612396490410852,0.0
59.4,29,48.6,157.5,0,47.516390796557616,102.45136852029718,-45.83797491109574,0.0
66.9,19,54.5,162.6,0,56.42465430681156,97.03834518352889,-30.03177666589032,0.0
65.5,22,55.9,160.7,0,54.34056320495168,102.8474433985973,-34.77363613945196,0.0
70.4,23,59.0,160.0,0,58.36913094057334,108.26046673536557,-36.35425596397248,0.0
60.4,25,47.3,152.4,0,46.1359903559204,95.4540456703284,-39.515495613013556,0.0
66.4,24,54.5,170.2,0,59.358669923114434,103.63959315519753,-37.93487578849304,0.0
61.7,21,59.1,170.2,0,55.19620446109104,105.75199250613147,-33.193016314931405,0.0
63.8,27,52.7,167.6,0,55.90079776573947,105.22389266839801,-42.67673526205468,0.0
65.9,23,62.3,175.2,0,61.1374538503957,112.61729039666686,-36.35425596397248,0.0
66.4,27,54.5,157.5,0,53.715807442124344,107.6003419381987,-42.67673526205466,0.0
67.6,27,53.6,165.1,0,58.15539567235052,106.41211730329836,-42.67673526205466,0.0
66.6,20,60.0,160.0,0,55.00373333297998,105.61996754669812,-31.612396490410866,0.0
64.5,26,55.5,174.0,0,59.36438666481084,107.6003419381987,-41.096115437534124,0.0
69.1,23,60.9,161.3,0,57.79542655090745,110.76894096459964,-36.35425596397251,0.0
74.7,19,60.0,156.2,0,60.48892847735692,104.29971795236436,-30.03177666589032,0.0
60.8,31,46.8,149.9,0,45.379443034684755,102.71541843916391,-48.99921456013682,0.0
63.5,21,55.5,164.4,0,54.21328486367213,100.99909396653004,-33.193016314931405,0.0
57.9,33,48.6,160.7,0,47.60976798976495,107.73236689763208,-52.16045420917793,0.0
