phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone 12 Pro Max,524.79,256,6,272.70168520806243,783.4889555870813,-755.5357034559117,6.0
apple,Apple iPhone 12 Pro,457.92,256,6,252.43601774929772,716.387806161361,-659.2635327017114,6.0
apple,Apple iPhone 13,466.45,256,4,223.8695646268429,724.9472917991864,-671.5441012157435,6.0
asus,Asus Zenfone 8,445.0,256,12,341.97515589193574,703.4231456173155,-640.6627184928843,6.0
google,Google Pixel 8a,456.56,256,8,283.17541592453165,715.0231050514614,-657.3055522586768,6.0
motorola,Motorola Edge 30 Pro,534.63,256,8,306.8353629636488,793.3629694998834,-769.7022678378668,6.0
motorola,Motorola Razr 40,477.49,256,8,289.51847589031524,736.0254537501353,-687.4382954003759,6.0
nothing,Nothing Phone (2a) Plus,463.32,256,12,347.5272274912264,721.8064723330207,-667.0378668137597,6.0
oneplus,OnePlus 10 Pro,439.5,256,8,278.0052007780306,697.9041337758105,-632.7444152306126,6.0
oppo,Oppo Reno8 T,529.99,256,8,305.4291614232171,788.7069304190499,-763.0220992675139,6.0
realme,Realme 12 Pro+,441.72,256,8,278.67799548056473,700.1318076463817,-635.940530365566,6.0
realme,Realme GT2 Pro,463.13,256,12,347.46964596263115,721.6158155603141,-666.7643254283358,6.0
realme,Realme 11 Pro+,471.41,256,12,349.9789883666774,729.9244370235258,-678.6849710668102,6.0
samsung,Samsung Galaxy S21 FE 5G,474.12,256,8,288.49716140944133,732.6438046763403,-682.5865350378567,6.0
samsung,Samsung Galaxy S10,193.31,512,8,203.39469275240947,707.748043987659,-278.3067642963135,6.0
samsung,Samsung Galaxy S10+,265.25,512,8,225.1968778426373,779.9367188745485,-381.8781709668259,6.0
samsung,Samsung Galaxy S22+ 5G,475.2,256,8,288.8244669404039,733.7275379106723,-684.1414018602666,6.0
samsung,Samsung Galaxy S22 Ultra 5G,455.61,256,12,345.190629672966,714.0698211879287,-655.9378453315574,6.0
samsung,Samsung Galaxy S23,535.68,256,8,307.1535766743068,794.4165990332618,-771.2139439152095,6.0
samsung,Samsung Galaxy S23 FE,442.79,256,8,279.0022704047591,701.2055063137291,-637.4810002729535,6.0
samsung,Samsung Galaxy S21 Ultra 5G,508.56,256,12,361.2376925104357,767.2028533711481,-732.1695103746991,6.0
samsung,Samsung Galaxy Note20 5G,463.9,256,8,285.39988129236974,722.3884772181249,-667.8728878850538,6.0
samsung,Samsung Galaxy Note20 Ultra 5G,505.16,256,12,360.2072862092572,763.7911005963994,-727.2745592671131,6.0
samsung,Samsung Galaxy A72,464.39,256,6,254.39682032830484,722.880171000368,-668.5783367211471,6.0
sony,Sony Xperia 5 III,453.06,256,8,282.11470355567155,711.5110066068671,-652.2666320008677,6.0
tecno,Tecno Pova 6 Pro,496.78,256,12,357.6676377375293,755.3821334633424,-715.209944478416,6.0
vivo,vivo Y76 5G,520.11,256,8,302.4349219362633,778.7927782383093,-748.7979472254697,6.0
vivo,vivo V29,523.32,256,8,303.4077467088465,782.0138742403516,-753.4193569476319,6.0
xiaomi,Xiaomi 12 Pro,529.19,256,8,305.18671288176336,787.9041650602854,-761.870346065729,6.0
xiaomi,Xiaomi 12 Pro,525.73,256,12,366.44124433138654,784.4322048836293,-756.8890134680089,6.0
xiaomi,Xiaomi Redmi Note 13 Pro 4G,213.55,512,12,271.8317622425998,728.0580075643986,-307.44612030147306,6.0
xiaomi,Xiaomi Redmi Note 13 Pro,278.64,512,12,291.55798169663,793.3730040668681,-401.1556401817017,6.0
xiaomi,Xiaomi Poco X6,250.56,512,12,283.0480378916036,765.195939974237,-360.72910279904966,6.0
xiaomi,Xiaomi Poco X6 Pro,265.37,512,12,287.53636651526597,780.0571336783631,-382.05093394709365,6.0
xiaomi,Xiaomi Poco M6 Pro,186.3,512,12,263.5733587993317,700.7138125314859,-268.2145268656727,6.0
apple,Apple iPhone XS Max,279.49,512,4,167.20934048910323,794.2259422605553,-402.3793779585982,6.0
apple,Apple iPhone XS,193.0,512,4,140.9976225511855,707.4369724111376,-277.8604599306218,6.0
apple,Apple iPhone 11 Pro,249.0,512,4,157.96902045294746,763.6305475246465,-358.4831840555689,6.0
apple,Apple iPhone 14,447.5,256,6,249.2781254968627,705.9317873634544,-644.2619472484622,6.0
apple,Apple iPhone 15,525.98,256,6,273.0623274134749,784.6830690582435,-757.248936343567,6.0
apple,Apple iPhone 13 Pro,495.98,256,6,263.9705071089595,754.5793681045778,-714.058191276631,6.0
google,Google Pixel 4 XL,599.99,128,6,295.4918481047142,730.50644190863,-863.8005044236979,6.0
google,Google Pixel 8 Pro,459.95,256,12,346.5059130103525,718.4248232592256,-662.1861064512407,6.0
google,Google Pixel 6 Pro,269.99,512,12,288.9365068421614,784.6931036252278,-388.7023086874018,6.0
motorola,Motorola Edge 40 Neo,489.99,256,12,355.6098557419406,748.5686624808293,-705.4344391782658,6.0
motorola,Motorola Edge 50 Fusion,450.0,256,8,281.187337884611,708.4404291095932,-647.8611760040401,6.0
nokia,Nokia X30,529.0,256,8,305.1291313531681,787.713508287579,-761.5968046803051,6.0
nothing,Nothing Phone (1),529.0,256,8,305.1291313531681,787.713508287579,-761.5968046803051,6.0
oneplus,OnePlus 9R,495.0,256,8,294.82506834138405,753.5959805400915,-712.6472936044444,6.0
