phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone 12 Pro Max,626.4,512,6,303.4956805794559,1142.3351055217577,-901.8227569976241,10.0
apple,Apple iPhone 14 Pro Max,840.34,256,6,368.33248177772305,1100.129716784719,-1209.8303569849672,10.0
apple,Apple iPhone 13 Pro,640.44,512,6,307.75065248196915,1156.423637568073,-922.0360256889501,10.0
asus,Asus ROG Phone 7,603.61,512,16,452.34673123331913,1119.4663273639565,-869.012187661775,10.0
honor,Honor 200 Pro,669.59,512,12,410.0395532983059,1185.6744003280512,-964.0030329789896,10.0
huawei,Huawei Mate 50 Pro,662.84,512,8,345.69077233837925,1178.9010676134767,-954.285115338929,10.0
motorola,Motorola Edge 40 Pro,626.86,512,12,397.0897705779078,1142.7966956030473,-902.4850150886504,10.0
nothing,Nothing Phone (2),648.85,512,12,403.7540748611176,1164.8627084020839,-934.1438312227143,10.0
oppo,Oppo Reno12 Pro,633.99,512,12,399.2505932036144,1149.951341863035,-912.7500154995589,10.0
sony,Sony Xperia 1 IV,645.27,512,12,402.6691176381121,1161.2703334216133,-928.9897356447268,10.0
apple,Apple iPhone 14 Pro,679.05,512,6,319.4518252138804,1195.1671006954407,-977.6225145900967,10.0
apple,Apple iPhone 14 Pro Max,668.95,512,6,316.3909123780269,1185.0321880410402,-963.0816304175619,10.0
apple,Apple iPhone 15 Plus,929.99,256,6,395.5018714543831,1190.0896098012558,-1338.8987001599944,10.0
apple,Apple iPhone 16 Plus,929.99,256,8,426.6534321500884,1190.0896098012558,-1338.8987001599944,10.0
apple,Apple iPhone 13 Pro Max,590.24,512,6,292.5370065057467,1106.0501113056062,-849.7635122769439,10.0
google,Google Pixel Fold,617.99,512,12,394.40162237453944,1133.8960346877468,-889.7149514638596,10.0
google,Google Pixel 7 Pro,899.0,256,12,479.5647031669348,1158.9924867161194,-1294.2826605058494,10.0
nothing,Nothing Phone (2),634.5,512,12,399.4051541487911,1150.4631047792475,-913.4842581656965,10.0
oneplus,OnePlus 12,649.99,512,16,466.4026854240998,1166.0066490383233,-935.785079535258,10.0
samsung,Samsung Galaxy Z Flip4,899.99,256,8,417.5616118455731,1159.98590884759,-1295.707955093058,10.0
samsung,Samsung Galaxy S24,614.5,512,8,331.0408192210368,1130.393970810137,-884.6904281210727,10.0
samsung,Samsung Galaxy S24,859.99,256,8,405.43918477288594,1119.8476409093696,-1238.12029500381,10.0
samsung,Samsung Galaxy S23 Ultra,669.99,512,12,410.1607775690327,1186.0757830074338,-964.5789095798823,10.0
samsung,Samsung Galaxy S21+ 5G,899.99,256,8,417.5616118455731,1159.98590884759,-1295.707955093058,10.0
sony,Sony Xperia 1 IV,639.95,512,12,401.05683483744474,1155.9319437858298,-921.3305768528569,10.0
vivo,vivo X100 Pro,888.88,256,16,538.8008505089556,1148.8375049277497,-1279.7129825032694,10.0
apple,Apple iPhone 14,614.39,512,6,299.8559218508816,1130.2835905733066,-884.5320620558272,10.0
apple,Apple iPhone 14 Plus,657.82,512,6,313.01784704505167,1173.8637149872302,-947.0578639977284,10.0
apple,Apple iPhone 15 Pro,931.97,256,8,427.2534922901865,1192.0764540641976,-1341.749289334412,10.0
apple,Apple iPhone 13 Pro Max,659.12,512,6,313.41182592491396,1175.1682086952221,-948.9294629506289,10.0
apple,Apple iPhone 13 Pro,602.41,512,6,296.22525494261185,1118.2621793258097,-867.2845578590975,10.0
asus,Asus Zenfone 10,857.79,256,8,404.7724512838882,1117.6400361727676,-1234.9529736989014,10.0
asus,Asus Zenfone 10,842.52,256,16,524.7509575317112,1102.3172523873518,-1212.968884459831,10.0
nothing,Nothing Phone (2),645.82,512,12,402.8358010103616,1161.8222346057642,-929.7815659709543,10.0
oneplus,OnePlus 10 Pro,863.11,256,12,468.6878554759662,1122.978425808551,-1242.6121324907713,10.0
oppo,Oppo Reno12 Pro,661.05,512,12,407.4514151182872,1177.1048801232414,-951.7080675499351,10.0
samsung,Samsung Galaxy Z Fold4,646.8,512,12,403.1328004736423,1162.8056221702504,-931.1924636431406,10.0
samsung,Samsung Galaxy S24 FE,841.23,256,8,399.7537664757957,1101.0227932463442,-1211.111682421953,10.0
samsung,Samsung Galaxy Note20 5G,907.33,256,8,419.7860772134112,1167.351281014254,-1306.2752907194351,10.0
xiaomi,Xiaomi 13T Pro,641.62,512,12,401.56294616772936,1157.6077164722506,-923.7348616615828,10.0
xiaomi,Xiaomi Redmi Note 13 Pro+,581.99,512,12,383.491438009121,1097.7715935433482,-837.8860573835364,10.0
vivo,vivo iQOO 12,649.59,512,16,466.281461153373,1165.6052663589412,-935.2092029343656,10.0
vivo,vivo X100,591.99,512,16,448.8251661687035,1107.8061605279038,-852.2829724058485,10.0
