phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone 16 Plus,1186.92,256,8,504.5188118447261,1447.9077393354312,-1708.7986378282565,13.0
motorola,Motorola Edge 30 Fusion,1167.12,256,12,560.8213318351566,1428.0392967060118,-1680.2927460840785,13.0
motorola,Motorola Razr 50,916.92,512,12,484.9955504954986,1433.859345557054,-1320.0819322258326,13.0
motorola,Motorola Edge 50 Ultra,892.12,512,16,539.7827671018433,1408.9736194353575,-1284.377582970499,13.0
oneplus,OnePlus 12,909.51,512,16,545.0529922716939,1426.4237314214986,-1309.4138181942992,13.0
samsung,Samsung Galaxy Z Fold4,934.2,512,12,490.2324389908995,1451.1990773063649,-1344.9598013843874,13.0
xiaomi,Xiaomi Poco F6 Pro,467.64,1000,16,411.13957100648736,1472.7131889212515,-673.2573341033988,13.0
apple,Apple iPhone 15,929.99,512,6,395.5018714543831,1446.9745246058674,-1338.8987001599944,13.0
apple,Apple iPhone 16,929.99,512,8,426.6534321500884,1446.9745246058674,-1338.8987001599944,13.0
asus,Asus ROG Phone 7,888.0,512,16,538.5341571133565,1404.8393778377203,-1278.446053981306,13.0
samsung,Samsung Galaxy S10+,489.0,1000,12,355.30982567189164,1494.1470240002611,-704.0091445910572,13.0
samsung,Samsung Galaxy S22 Ultra 5G,394.95,1000,12,326.80696901723593,1399.7719215105199,-568.6061588062128,13.0
samsung,Samsung Galaxy S22 Ultra 5G,929.0,512,12,488.6565234714501,1445.9811024743965,-1337.4734055727852,13.0
sony,Sony Xperia 1 VI,975.0,512,12,502.5973146050403,1492.14011060335,-1403.69921467542,13.0
sony,Sony Xperia 1 III,904.0,512,12,481.0800065510207,1420.8946850130087,-1301.4811180170054,13.0
xiaomi,Xiaomi Poco F6 Pro,481.49,1000,16,415.3369613804052,1486.61106419486,-693.1970614093007,13.0
apple,Apple iPhone 14 Pro Max,881.07,512,6,380.6761431444868,1397.885422917424,-1268.468991870844,13.0
apple,Apple iPhone 16 Plus,1165.28,256,8,497.9605787984024,1426.1929363808536,-1677.6437137199732,13.0
asus,Asus Zenfone 9,1165.28,256,8,497.9605787984024,1426.1929363808536,-1677.6437137199732,13.0
asus,Asus Zenfone 10,933.25,512,16,552.2476527393338,1450.2457934428323,-1343.5920944572679,13.0
asus,Asus ROG Phone 8,1189.78,256,16,629.9918081632446,1450.7776254930136,-1712.9161555246374,13.0
google,Google Pixel Fold,946.21,512,12,493.8721977194738,1463.2505922548162,-1362.2504963261845,13.0
motorola,Motorola Edge 30 Ultra,1160.1,256,8,496.3907244924893,1420.9950306828541,-1670.1861117384155,13.0
oneplus,OnePlus 12,970.85,512,16,563.6427341876597,1487.9757653047595,-1397.7244949411606,13.0
samsung,Samsung Galaxy S24+,944.86,512,12,493.4630658057706,1461.8959257119009,-1360.306912798172,13.0
samsung,Samsung Galaxy Z Flip6,939.74,512,12,491.91139514046665,1456.7582274158087,-1352.9356923067483,13.0
samsung,Samsung Galaxy S24 FE,906.04,512,8,419.395128940317,1422.941736677858,-1304.418088681557,13.0
samsung,Samsung Galaxy Z Fold5,887.88,512,12,476.1946684407277,1404.718963033906,-1278.2732910010388,13.0
xiaomi,Xiaomi 14,973.28,512,12,502.0760502409148,1490.4141650820063,-1401.2229452915826,13.0
xiaomi,Xiaomi 14T,938.6,512,12,491.565905968895,1455.6142867795693,-1351.2944439942048,13.0
xiaomi,Xiaomi 14T Pro,906.04,512,12,481.6982503317277,1422.941736677858,-1304.418088681557,13.0
zte,ZTE Axon 40 Ultra,1165.28,256,8,497.9605787984024,1426.1929363808536,-1677.6437137199732,13.0
xiaomi,Xiaomi 13T Pro,899.0,512,12,479.5647031669348,1415.8774015207312,-1294.2826605058492,13.0
