phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone 13 Pro,749.1,1000,6,340.68122562492374,1755.1461112685406,-1078.4729043213924,16.0
google,Google Pixel 9 Pro,1272.39,512,16,655.0276506751118,1790.5580981570358,-1831.8490705239574,16.0
google,Google Pixel Fold,1273.56,512,12,593.0791102755771,1791.7321424942284,-1833.5335095815676,16.0
honor,Honor Magic V2,1258.52,512,16,650.8241990876575,1776.6401537494578,-1811.8805493880106,16.0
samsung,Samsung Galaxy Z Fold6,1274.29,512,12,593.3003445696536,1792.4646658841011,-1834.5844843781965,16.0
samsung,Samsung Galaxy Z Fold5,1238.76,512,12,582.5325987223393,1756.8118493879767,-1783.432245303922,16.0
apple,Apple iPhone 16 Pro Max,1199.99,512,8,508.47981489072663,1717.9078331888563,-1727.6154057624178,16.0
apple,Apple iPhone 14 Pro,698.06,1000,6,325.2130086801749,1703.9296813793708,-1004.9910500475121,16.0
apple,Apple iPhone 14 Pro Max,787.5,1000,6,352.3187556147034,1793.6788484892322,-1133.7570580070703,16.0
apple,Apple iPhone 15 Pro Max,1199.99,512,8,508.47981489072663,1717.9078331888563,-1727.6154057624178,16.0
google,Google Pixel 9 Pro XL,1199.0,512,16,632.786027603499,1716.9144110573852,-1726.1901111752095,16.0
samsung,Samsung Galaxy S24 Ultra,1219.99,512,12,576.8441498184809,1737.976967157967,-1756.4092358070425,16.0
samsung,Samsung Galaxy S23 Ultra,692.0,1000,12,416.83114306577886,1697.8487337867307,-996.266519543991,16.0
xiaomi,Xiaomi 13 Ultra,1178.0,512,16,626.4217533903383,1695.8418203898193,-1695.956589628354,16.0
samsung,Samsung Galaxy Z Fold4,725.87,1000,12,427.0958081895767,1731.8358121634187,-1045.0288707245616,16.0
