phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone 15 Plus,995.76,512,6,415.43417216864896,1512.9718716632867,-1433.5872102617404,14.0
apple,Apple iPhone 15 Pro,1059.91,512,8,466.0270752821762,1577.3436188692078,-1525.9434201298716,14.0
huawei,Huawei Pura 70 Pro,991.49,512,12,507.5947851657557,1508.6871115608815,-1427.439727547213,14.0
sony,Sony Xperia 1 V,1049.81,512,12,525.2692838377334,1567.208706214807,-1511.4025359573366,14.0
zte,ZTE nubia Z50S Pro,547.53,1000,12,373.047967086001,1552.8793445608624,-788.2742882166492,14.0
apple,Apple iPhone 15 Plus,1029.99,512,6,425.807939136101,1547.320194451419,-1482.8678503831143,14.0
apple,Apple iPhone 16 Plus,1029.99,512,8,456.9594998318063,1547.320194451419,-1482.8678503831143,14.0
google,Google Pixel 8 Pro,1059.0,512,12,528.0544114576833,1576.4304732736132,-1524.6333008628412,14.0
google,Google Pixel 7 Pro,999.0,512,12,509.87077084865257,1516.2230713662825,-1438.2518107289693,14.0
honor,Honor Magic5 Pro,999.0,512,12,509.87077084865257,1516.2230713662825,-1438.2518107289693,14.0
samsung,Samsung Galaxy Z Flip4,1059.99,512,8,466.0513201363217,1577.423895405084,-1526.05859545005,14.0
samsung,Samsung Galaxy S24 Ultra,1049.99,512,12,525.3238347595606,1567.3893284205294,-1511.6616804277385,14.0
samsung,Samsung Galaxy S24+,999.99,512,12,510.1708009187016,1517.2164934977534,-1439.677105316178,14.0
samsung,Samsung Galaxy S23+,999.99,512,8,447.8676795272909,1517.2164934977534,-1439.677105316178,14.0
samsung,Samsung Galaxy S23+,999.99,512,8,447.8676795272909,1517.2164934977534,-1439.677105316178,14.0
samsung,Samsung Galaxy Z Flip5,999.99,512,8,447.8676795272909,1517.2164934977534,-1439.677105316178,14.0
samsung,Samsung Galaxy Z Flip5,999.99,512,8,447.8676795272909,1517.2164934977534,-1439.677105316178,14.0
xiaomi,Xiaomi 14 Ultra,1075.0,512,16,595.2065036781688,1592.4857804489016,-1547.6683648985402,14.0
apple,Apple iPhone 15 Pro,1022.05,512,8,454.5531980578779,1539.352748265682,-1471.4366998553985,14.0
asus,Asus Zenfone 11 Ultra,1060.28,512,16,590.74545051542,1577.7148978476364,-1526.4761059856976,14.0
google,Google Pixel 9 Pro,1294.9,256,16,661.8495465102665,1556.2609936346576,-1864.2565262391813,14.0
motorola,Motorola Edge 50 Ultra,1014.5,512,16,576.8713327307296,1531.7766501923431,-1460.567029013553,14.0
samsung,Samsung Galaxy S22 Ultra 5G,576.81,1000,12,381.92158370320806,1582.26055669164,-830.4284554019789,14.0
samsung,Samsung Galaxy S24 Ultra,998.04,512,12,509.57983259890807,1515.2597529357654,-1436.8697068868273,14.0
sony,Sony Xperia 1 V,1043.44,512,12,523.338787326408,1560.8166870456457,-1502.231701088124,14.0
xiaomi,Xiaomi Poco F6 Pro,533.63,1000,16,431.138545069653,1538.9312964523308,-768.2625763356356,14.0
