phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone SE (2020),157.68,128,3,114.71773909815006,286.66750961477135,-227.01055607181573,1.0
google,Google Pixel 4,162.42,128,6,162.88158774982148,291.4238943654505,-233.8346937923916,1.0
honor,Honor X7,156.14,128,6,160.9783666994096,285.12218629914986,-224.79343115837958,1.0
honor,Honor X7a,151.09,128,6,159.44791028148285,280.0547299719495,-217.52298907211207,1.0
huawei,Huawei nova 8i,123.67,128,8,182.28954721886112,252.53994730029936,-178.0466480809326,1.0
motorola,Motorola Moto G23,151.19,128,8,190.6297770448699,280.1550756417951,-217.66695822233524,1.0
motorola,Motorola Moto G52,136.29,128,6,154.9626122645886,265.2035708348079,-196.21555483909032,1.0
motorola,Motorola Moto G71 5G,135.9,128,6,154.84441860062992,264.8122227224103,-195.65407515322022,1.0
motorola,Motorola Moto G31,125.33,128,4,120.489506550967,254.20568541973552,-180.43653597463634,1.0
motorola,Motorola Moto G13,123.11,128,4,119.81671184843287,251.9780115491642,-177.24042083968308,1.0
motorola,Motorola Moto G42,128.51,128,4,121.45323950324564,257.39667772082396,-185.01475495173156,1.0
motorola,Motorola Moto G22,139.08,128,4,124.6565908572032,268.00321502349885,-200.23229413031535,1.0
motorola,Motorola Moto G34,129.59,128,4,121.7805450342082,258.480410955156,-186.5696217741413,1.0
motorola,Motorola Moto G34,125.81,128,8,182.9380970672499,254.6873446349941,-181.12758789570734,1.0
motorola,Motorola Moto G24,117.15,128,8,180.31359160601315,245.99740962636935,-168.65985948638513,1.0
motorola,Motorola Moto G24 Power,137.42,128,8,186.45663152509735,266.33747690406267,-197.84240623661157,1.0
motorola,Motorola Moto G04s,99.42,128,4,112.63720441463391,228.2061223627531,-143.13412915182593,1.0
nokia,Nokia C32,118.79,128,4,118.50748972458268,247.64307861183647,-171.0209535500444,1.0
nokia,Nokia G22,131.76,128,4,122.43818670290148,260.65791199080445,-189.69375233398299,1.0
nokia,Nokia C21 Plus,183.49,64,3,122.53973516680144,248.34549830075534,-264.168993744403,1.0
nokia,Nokia G21,112.15,128,4,116.4951668305166,240.98012613409188,-161.46140197522922,1.0
oppo,Oppo A54 5G,135.48,128,4,123.56557242066135,264.390770909059,-195.04940472228304,1.0
oppo,Oppo A57 4G,168.92,64,4,133.6999214534278,233.7251342042584,-243.19268855689435,1.0
oppo,Oppo A77,144.71,128,6,157.51438316338923,273.65267623580337,-208.33775728787703,1.0
realme,Realme C65,156.6,128,8,192.26933530645084,285.5837763804394,-225.45568924940602,1.0
realme,Realme Note 50,107.99,128,4,115.23443441495714,236.80574626851686,-155.47228532594735,1.0
realme,Realme Narzo 50A Prime,77.38,128,4,105.95774709758332,206.08993672879356,-111.40332844265029,1.0
realme,Realme 9i,161.99,128,4,131.59971096308476,290.99240798511465,-233.21562644643222,1.0
realme,Realme C35,160.92,64,6,162.42699673459572,225.6974806166143,-231.67515653904474,1.0
realme,Realme 8,121.24,128,4,119.24998838278476,250.10154752305243,-174.54819773051082,1.0
realme,Realme C51,124.19,128,4,120.14401737939542,253.06174478349624,-178.79528766209282,1.0
samsung,Samsung Galaxy A51,165.56,128,6,163.83319827502743,294.57474839860083,-238.3553251093976,1.0
samsung,Samsung Galaxy A03,136.46,64,4,123.8625718839422,201.1529297723925,-196.46030239446964,1.0
samsung,Samsung Galaxy A71,139.73,128,8,187.15670168854504,268.6554618774949,-201.16809360676564,1.0
samsung,Samsung Galaxy S9,143.64,128,4,126.03854754348954,272.5789775684559,-206.7972873804896,1.0
samsung,Samsung Galaxy A03s,189.91,64,4,140.06116505982038,254.78769030483969,-273.4118131887273,1.0
samsung,Samsung Galaxy M13,139.96,128,4,124.92328425280232,268.8862569181397,-201.49922265227883,1.0
samsung,Samsung Galaxy A13 (SM-A137),201.42,32,4,143.5493934499861,234.22686255348617,-289.9826623794084,1.0
samsung,Samsung Galaxy A13 (SM-A137),183.88,64,4,138.2337091786128,248.73684641315293,-264.73047343027315,1.0
samsung,Samsung Galaxy A23 5G,206.27,64,6,176.17079842825476,271.204241891572,-296.9651661652298,1.0
samsung,Samsung Galaxy A15,146.97,128,6,158.19930029299607,275.9204883743128,-211.59146008291955,1.0
samsung,Samsung Galaxy M15,160.37,128,6,162.26031336234627,289.3668081336167,-230.88332621281762,1.0
samsung,Samsung Galaxy A14,97.2,128,4,111.96440971209978,225.97844849218183,-139.9380140168727,1.0
samsung,Samsung Galaxy A14,152.92,128,6,160.0025113200583,281.89105573012307,-220.15762452119515,1.0
samsung,Samsung Galaxy A14 5G,150.12,128,4,128.00238072926487,279.08137697444766,-216.1264883149478,1.0
samsung,Samsung Galaxy A05s,119.06,128,4,118.5893161073233,247.9140119204194,-171.40967025564674,1.0
samsung,Samsung Galaxy A05s,140.42,128,6,156.21425285984355,269.3478469994292,-202.16148074330516,1.0
samsung,Samsung Galaxy A32 5G,108.0,128,4,115.23746502172531,236.8157808355014,-155.48668224096966,1.0
samsung,Samsung Galaxy A32 5G,139.63,128,6,155.974834925158,268.55511620764935,-201.02412445654258,1.0
samsung,Samsung Galaxy A02,259.09,32,4,161.02690268203278,292.0962103534157,-373.00967131308164,1.0
